0,2,0,0,6,11,78,2,2,0,0,3,5,25,1,1,A,
0,4,0,1,2,3,7,1,0,0,1,2,12,55,1,2,B,
1,3,1,3,1,5,31,3,3,2,1,0,5,72,1,3,A,
1,4,1,1,1,3,19,2,4,1,3,1,3,3,3,4,A,
0,4,1,5,0,11,67,0,2,2,2,1,4,56,1,5,B,
1,1,0,4,1,10,6,1,4,0,1,2,4,51,1,6,A,
0,3,0,2,1,12,90,1,2,1,1,4,7,74,2,7,B,
1,4,0,5,0,7,64,2,2,2,2,1,2,78,3,8,A,
1,3,1,3,1,5,61,3,4,1,1,4,3,14,1,9,B,
1,1,0,0,5,7,10,0,3,1,3,0,5,64,2,10,A,
1,2,1,5,1,9,89,2,3,0,2,3,9,6,0,11,B,
0,0,2,2,3,4,51,3,2,1,0,5,7,43,0,12,B,
1,2,1,0,0,4,45,3,4,0,2,1,10,87,1,13,B,
1,0,1,3,1,11,67,0,1,1,2,3,3,21,0,14,A,
0,2,2,4,1,12,83,1,1,2,4,0,9,70,2,15,A,
0,4,0,3,1,10,1,0,1,2,4,1,12,85,2,16,A,
1,1,0,5,1,8,14,2,0,2,5,0,2,11,0,17,A,
1,0,2,5,1,0,0,2,3,2,1,2,2,33,1,18,A,
1,2,1,4,1,6,28,0,1,2,3,1,7,86,2,19,A,
0,2,1,1,1,3,63,0,1,2,2,1,9,66,0,20,B,
1,0,0,0,2,12,62,3,3,2,5,1,12,56,2,21,B,
1,0,1,3,1,4,57,3,0,2,3,0,3,3,1,22,B,
1,4,0,4,1,12,64,2,3,2,0,3,5,45,2,23,B,
0,4,0,4,1,3,78,2,2,2,1,1,1,21,3,24,A,
0,4,2,0,1,10,50,1,2,1,2,1,8,51,1,25,B,
0,4,2,2,1,8,84,3,2,2,0,0,12,3,1,26,B,
0,3,0,1,2,10,5,0,3,0,4,0,1,25,1,27,A,
0,4,1,3,1,3,5,3,1,1,0,1,11,82,2,28,B,
0,1,1,4,0,6,5,1,2,2,2,2,1,61,2,29,A,
